start_time,drop_after_30_min,temp_difference_at_start,temp_difference_at_end,average_temp_difference,temp_at_start,temp_after_30_min,outside_temp_at_start,outside_temp_after_30_min,cooling_rate
2024-12-01 22:00:00,4.455,26.097,22.122,24.11,27.021,22.567,0.924,0.445,0.133
2024-12-02 11:05:00,4.215,20.08,14.486,17.283,27.272,23.056,7.192,8.571,0.186
2024-12-03 18:10:00,4.013,22.167,18.394,20.281,27.877,23.864,5.71,5.47,0.126
2024-12-04 07:27:00,5.051,23.075,16.628,19.851,26.481,21.43,3.407,4.802,0.215
2024-12-05 21:20:00,4.279,21.887,17.293,19.59,28.559,24.281,6.673,6.987,0.153
2024-12-06 06:59:00,2.741,19.093,16.298,17.696,26.96,24.218,7.867,7.92,0.093
2024-12-06 13:51:00,3.104,19.693,17.185,18.439,29.189,26.085,9.496,8.9,0.084
2024-12-07 05:35:00,3.083,21.81,18.263,20.037,26.53,23.447,4.72,5.183,0.118
2024-12-08 08:06:00,4.456,23.674,18.351,21.013,27.642,23.186,3.968,4.835,0.177
2024-12-08 17:25:00,4.306,22.748,17.998,20.373,28.158,23.852,5.41,5.854,0.158
2024-12-09 22:00:00,4.16,24.568,20.036,22.302,28.666,24.506,4.097,4.47,0.151
2024-12-10 06:32:00,4.694,22.605,17.907,20.256,27.211,22.517,4.606,4.61,0.157
2024-12-10 17:08:00,5.151,23.951,18.633,21.292,28.404,23.253,4.453,4.62,0.177
2024-12-10 20:15:00,4.707,24.896,20.191,22.543,29.106,24.399,4.21,4.208,0.157
2024-12-10 22:27:00,6.545,23.46,16.915,20.188,27.67,21.125,4.21,4.21,0.218
2024-12-11 07:30:00,2.203,21.306,18.967,20.136,24.82,22.617,3.513,3.65,0.078
2024-12-11 09:15:00,3.795,20.834,17.041,18.938,24.506,20.711,3.672,3.67,0.126
2024-12-11 12:13:00,3.922,20.404,16.512,18.458,24.194,20.272,3.79,3.76,0.13
2024-12-14 12:45:00,3.654,19.648,15.11,17.379,23.928,20.275,4.28,5.164,0.151
2024-12-15 14:02:00,3.024,20.478,17.424,18.951,26.278,23.254,5.8,5.83,0.102
2024-12-16 17:17:00,0.609,17.707,17.025,17.366,26.341,25.733,8.634,8.708,0.023
2024-12-17 19:00:00,2.687,20.45,17.984,19.217,27.61,24.923,7.161,6.939,0.082
2024-12-18 09:27:00,3.245,20.051,16.205,18.128,26.551,23.306,6.5,7.101,0.128
