Time,Value
2024-11-26 00:00:00,24.35741424560547 °C
2024-11-26 00:01:00,24.36981201171875 °C
2024-11-26 00:02:00,24.36389923095703 °C
2024-11-26 00:03:00,24.345016479492188 °C
2024-11-26 00:04:00,24.342918395996094 °C
2024-11-26 00:05:00,24.364852905273438 °C
2024-11-26 00:06:00,24.378013610839844 °C
2024-11-26 00:07:00,24.385452270507812 °C
2024-11-26 00:08:00,24.356651306152344 °C
2024-11-26 00:09:00,24.309539794921875 °C
2024-11-26 00:10:00,24.25861358642578 °C
2024-11-26 00:11:00,24.22161102294922 °C
2024-11-26 00:12:00,24.27387237548828 °C
2024-11-26 00:13:00,24.355697631835938 °C
2024-11-26 00:14:00,24.315834045410156 °C
2024-11-26 00:15:00,24.358367919921875 °C
2024-11-26 00:16:00,24.341583251953125 °C
2024-11-26 00:17:00,24.31640625 °C
2024-11-26 00:18:00,24.3194580078125 °C
2024-11-26 00:19:00,24.323081970214844 °C
2024-11-26 00:20:00,24.259567260742188 °C
2024-11-26 00:21:00,24.233436584472656 °C
2024-11-26 00:22:00,24.23686981201172 °C
2024-11-26 00:23:00,24.310874938964844 °C
2024-11-26 00:24:00,24.315452575683594 °C
2024-11-26 00:25:00,24.29523468017578 °C
2024-11-26 00:26:00,24.34558868408203 °C
2024-11-26 00:27:00,24.319076538085938 °C
2024-11-26 00:28:00,24.303054809570312 °C
2024-11-26 00:29:00,24.274826049804688 °C
2024-11-26 00:30:00,24.273300170898438 °C
2024-11-26 00:31:00,24.300193786621094 °C
2024-11-26 00:32:00,24.341964721679688 °C
2024-11-26 00:33:00,24.383926391601562 °C
2024-11-26 00:34:00,24.38812255859375 °C
2024-11-26 00:35:00,24.382591247558594 °C
2024-11-26 00:36:00,24.409103393554688 °C
2024-11-26 00:37:00,24.382972717285156 °C
2024-11-26 00:38:00,24.362564086914062 °C
2024-11-26 00:39:00,24.40948486328125 °C
2024-11-26 00:40:00,24.39899444580078 °C
2024-11-26 00:41:00,24.369430541992188 °C
2024-11-26 00:42:00,24.312782287597656 °C
2024-11-26 00:43:00,24.309539794921875 °C
2024-11-26 00:44:00,24.356651306152344 °C
2024-11-26 00:45:00,24.37114715576172 °C
2024-11-26 00:46:00,24.349594116210938 °C
2024-11-26 00:47:00,24.3743896484375 °C
2024-11-26 00:48:00,24.418258666992188 °C
2024-11-26 00:49:00,24.381637573242188 °C
2024-11-26 00:50:00,24.36065673828125 °C
2024-11-26 00:51:00,24.355125427246094 °C
2024-11-26 00:52:00,24.3438720703125 °C
2024-11-26 00:53:00,24.34978485107422 °C
2024-11-26 00:54:00,24.38220977783203 °C
2024-11-26 00:55:00,24.339675903320312 °C
2024-11-26 00:56:00,24.281692504882812 °C
2024-11-26 00:57:00,24.283409118652344 °C
2024-11-26 00:58:00,24.283409118652344 °C
2024-11-26 00:59:00,24.248123168945312 °C
2024-11-26 01:00:00,24.17469024658203 °C
2024-11-26 01:01:00,24.1424560546875 °C
2024-11-26 01:02:00,24.21436309814453 °C
2024-11-26 01:03:00,24.224472045898438 °C
2024-11-26 01:04:00,24.227142333984375 °C
2024-11-26 01:05:00,24.18689727783203 °C
2024-11-26 01:06:00,24.08733367919922 °C
2024-11-26 01:07:00,24.17316436767578 °C
2024-11-26 01:08:00,24.159622192382812 °C
2024-11-26 01:09:00,24.193763732910156 °C
2024-11-26 01:10:00,24.113845825195312 °C
2024-11-26 01:11:00,24.077987670898438 °C
2024-11-26 01:12:00,24.098777770996094 °C
2024-11-26 01:13:00,24.16400909423828 °C
2024-11-26 01:14:00,24.167823791503906 °C
2024-11-26 01:15:00,24.16095733642578 °C
2024-11-26 01:16:00,24.1485595703125 °C
2024-11-26 01:17:00,24.26280975341797 °C
2024-11-26 01:18:00,24.266815185546875 °C
2024-11-26 01:19:00,24.219512939453125 °C
2024-11-26 01:20:00,24.198341369628906 °C
2024-11-26 01:21:00,24.155807495117188 °C
2024-11-26 01:22:00,24.118423461914062 °C
2024-11-26 01:23:00,24.15618896484375 °C
2024-11-26 01:24:00,24.15447235107422 °C
2024-11-26 01:25:00,24.163246154785156 °C
2024-11-26 01:26:00,24.146652221679688 °C
2024-11-26 01:27:00,24.23725128173828 °C
2024-11-26 01:28:00,24.23267364501953 °C
2024-11-26 01:29:00,24.233627319335938 °C
2024-11-26 01:30:00,24.27234649658203 °C
2024-11-26 01:31:00,24.2523193359375 °C
2024-11-26 01:32:00,24.280738830566406 °C
2024-11-26 01:33:00,24.25365447998047 °C
2024-11-26 01:34:00,24.326705932617188 °C
2024-11-26 01:35:00,24.335098266601562 °C
2024-11-26 01:36:00,24.367141723632812 °C
2024-11-26 01:37:00,24.332237243652344 °C
2024-11-26 01:38:00,24.341392517089844 °C
2024-11-26 01:39:00,24.31621551513672 °C
2024-11-26 01:40:00,24.31182861328125 °C
2024-11-26 01:41:00,24.347877502441406 °C
2024-11-26 01:42:00,24.30267333984375 °C
2024-11-26 01:43:00,24.300193786621094 °C
2024-11-26 01:44:00,24.28874969482422 °C
2024-11-26 01:45:00,24.273681640625 °C
2024-11-26 01:46:00,24.274253845214844 °C
2024-11-26 01:47:00,24.326324462890625 °C
2024-11-26 01:48:00,24.26929473876953 °C
2024-11-26 01:49:00,24.187850952148438 °C
2024-11-26 01:50:00,24.18975830078125 °C
2024-11-26 01:51:00,24.29065704345703 °C
2024-11-26 01:52:00,24.303054809570312 °C
2024-11-26 01:53:00,24.34558868408203 °C
2024-11-26 01:54:00,24.326705932617188 °C
2024-11-26 01:55:00,24.32861328125 °C
2024-11-26 01:56:00,24.381637573242188 °C
2024-11-26 01:57:00,24.381256103515625 °C
2024-11-26 01:58:00,24.34825897216797 °C
2024-11-26 01:59:00,24.32727813720703 °C
2024-11-26 02:00:00,24.34864044189453 °C
2024-11-26 02:01:00,24.266815185546875 °C
2024-11-26 02:02:00,24.3377685546875 °C
2024-11-26 02:03:00,24.343299865722656 °C
2024-11-26 02:04:00,24.382591247558594 °C
2024-11-26 02:05:00,24.34825897216797 °C
2024-11-26 02:06:00,24.286460876464844 °C
2024-11-26 02:07:00,24.23858642578125 °C
2024-11-26 02:08:00,24.248123168945312 °C
2024-11-26 02:09:00,24.184226989746094 °C
2024-11-26 02:10:00,24.19605255126953 °C
2024-11-26 02:11:00,24.129295349121094 °C
2024-11-26 02:12:00,24.14531707763672 °C
2024-11-26 02:13:00,24.17278289794922 °C
2024-11-26 02:14:00,24.23725128173828 °C
2024-11-26 02:15:00,24.238204956054688 °C
2024-11-26 02:16:00,24.296188354492188 °C
2024-11-26 02:17:00,24.277496337890625 °C
2024-11-26 02:18:00,24.18689727783203 °C
2024-11-26 02:19:00,24.167823791503906 °C
2024-11-26 02:20:00,24.114608764648438 °C
2024-11-26 02:21:00,24.080848693847656 °C
2024-11-26 02:22:00,24.166297912597656 °C
2024-11-26 02:23:00,24.172401428222656 °C
2024-11-26 02:24:00,24.16534423828125 °C
2024-11-26 02:25:00,24.2156982421875 °C
2024-11-26 02:26:00,24.201583862304688 °C
2024-11-26 02:27:00,24.14989471435547 °C
2024-11-26 02:28:00,24.106979370117188 °C
2024-11-26 02:29:00,24.041175842285156 °C
2024-11-26 02:30:00,24.04327392578125 °C
2024-11-26 02:31:00,24.04327392578125 °C
2024-11-26 02:32:00,24.135589599609375 °C
2024-11-26 02:33:00,24.204254150390625 °C
2024-11-26 02:34:00,24.219512939453125 °C
2024-11-26 02:35:00,24.225807189941406 °C
2024-11-26 02:36:00,24.291229248046875 °C
2024-11-26 02:37:00,24.266433715820312 °C
2024-11-26 02:38:00,24.275588989257812 °C
2024-11-26 02:39:00,24.30706024169922 °C
2024-11-26 02:40:00,24.32270050048828 °C
2024-11-26 02:41:00,24.35321807861328 °C
2024-11-26 02:42:00,24.355697631835938 °C
2024-11-26 02:43:00,24.309349060058594 °C
2024-11-26 02:44:00,24.308204650878906 °C
2024-11-26 02:45:00,24.316787719726562 °C
2024-11-26 02:46:00,24.306297302246094 °C
2024-11-26 02:47:00,24.347496032714844 °C
2024-11-26 02:48:00,24.32994842529297 °C
2024-11-26 02:49:00,24.341583251953125 °C
2024-11-26 02:50:00,24.375343322753906 °C
